Q_No,Question,Code_Part,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
11,Why Java is Partially OOP language?,,It supports usual declaration of primitive data types,It doesn’t support all types of inheritance,It allows code to be written outside classes,It does not support pointers,a,"As Java supports usual declaration of data variables, it is partial implementation of OOP. Because according to rules of OOP, object constructors must be used, even for declaration of variables."
12,Which concept of OOP is false for C++?,,Code can be written without using classes,Code must contain at least one class,A class must have member functions,At least one object should be declared in code,b,"In C++, it’s not necessary to use classes, and hence codes can be written without using OOP concept. Classes may or may not contain member functions, so it’s not a necessary condition in C++. And, an object can only be declared in a code if its class is defined/included via header file."
13,Which header file is required in C++ to use OOP?,,iostream.h,stdio.h,stdlib.h,OOP can be used without using any header file,d,"We need not include any specific header file to use OOP concept in C++, only specific functions used in code need their respective header files to be included or classes should be defined if needed."
14,Which of the two features match each other?,,Inheritance and Encapsulation,Encapsulation and Polymorphism,Encapsulation and Abstraction,Abstraction and Polymorphism,c,Encapsulation and Abstraction are similar features. Encapsulation is actually binding all the properties in a single class or we can say hiding all the features of object inside a class. And Abstraction is hiding unwanted data (for user) and showing only the data required by the user of program.
15,"Which feature allows open recursion, among the following?",,Use of this pointer,Use of pointers,Use of pass by value,Use of parameterized constructor,a,"Use of this pointer allows an object to call data and methods of itself whenever needed. This helps us call the members of an object recursively, and differentiate the variables of different scopes."
1.,Which of the following is not type of class?,,Abstract Class,Final Class,Start Class,String Class,c,"Only 9 types of classes are provided in general, namely, abstract, final, mutable, wrapper, anonymous, input-output, string, system, network. We may further divide the classes into parent class and subclass if inheritance is used."
2.,Class is pass by _______,,Value,Reference,"Value or Reference, depending on program",Copy,b,"Classes are pass by reference, and the structures are pass by copy. It doesn’t depend on the program."
3.,"What is default access specifier for data members or member functions declared within a class without any specifier, in C++?",,Private,Protected,Public,Depends on compiler,a,"The data members and member functions are Private by default in C++ classes, if none of the access specifier is used. It is actually made to increase the privacy of data."
4,Which is most appropriate comment on following class definition?,"class Student 
{
    int a; 
    public : float a; 
};",Error : same variable name can’t be used twice,Error : Public must come first,Error : data types are different for same variable,It is correct,a,"Same variable can’t be defined twice in same scope. Even if the data types are different, variable name must be different. There is no rule like Public member should come first or last."
5.,Which is known as a generic class?,,Abstract class,Final class,Template class,Efficient Code,c,Template classes are known to be generic classes because those can be used for any data type value and the same class can be used for all the variables of different data types.
6.,Size of a class is _____________,,Sum of the size of all the variables declared inside the class,Sum of the size of all the variables along with inherited variables in the class,Size of the largest size of variable,Classes doesn’t have any size,d,"Classes doesn’t have any size, actually the size of object of the class can be defined. That is done only when an object is created and its constructor is called."
7.,Which class can have member functions without their implementation?,,Default class,String class,Template class,Abstract class,d,"Abstract classes can have member functions with no implementation, where the inheriting subclasses must implement those functions."
8.,Which of the following describes a friend class?,,"Friend class can access all the private members of the class, of which it is a friend","Friend class can only access protected members of the class, of which it is a friend",Friend class don’t have any implementation,Friend class can’t access any data member of another class but can use it’s methods,a,"A friend class can access all the private members of another class, of which it is a friend. It is a special class provided to use when you need to reuse the data of a class but don’t want that class to have those special functions."
9.,What is the scope of a class nested inside another class?,,Protected scope,Private scope,Global scope,Depends on access specifier and inheritance used,d,"It depends on the access specifier and the type of inheritance used with the class, because if the class is inherited then the nested class can be used by subclass too, provided it’s not of private type."
10,Class with main() function can be inherited.,,True,False,"<span class=""collapseomatic  colomat-close colomat-visited"" id=""id68dd596d26373"" tabindex="""" title=""View Answer"">View Answer</span>",,a,The class containing main function can be inherited and hence the program can be executed using the derived class names also in java.
11,"Which among the following is false, for a member function of a class?",,All member functions must be defined,Member functions can be defined inside or outside the class body,Member functions need not be declared inside the class definition,Member functions can be made friend to another class using the friend keyword,c,"Member functions must be declared inside class body, though the definition can be given outside the class body. There is no way to declare the member functions outside the class."
12,Which syntax for class definition is wrong?,,class student{ };,student class{ };,class student{ public: student(int a){ } };,class student{ student(int a){} };,b,Keyword class should come first. Class name should come after keyword class. Parameterized constructor definition depends on programmer so it can be left empty also.
13,Which of the following pairs are similar?,,Class and object,Class and structure,Structure and object,Structure and functions,b,Class and structure are similar to each other. Only major difference is that a structure doesn’t have member functions whereas the class can have both data members and member functions.
14,Which among the following is false for class features?,,Classes may/may not have both data members and member functions,Class definition must be ended with a colon,Class can have only member functions with no data members,Class is similar to union and structures,b,"Class definition must end with a semicolon, not colon. Class can have only member functions in its body with no data members."
15,Instance of which type of class can’t be created?,,Anonymous class,Nested class,Parent class,Abstract class,d,"Instance of abstract class can’t be created as it will not have any constructor of its own, hence while creating an instance of class, it can’t initialize the object members. Actually the class inheriting the abstract class can have its instance because it will have implementation of all members."
1.,Which definition best describes an object?,,Instance of a class,Instance of itself,Child of a class,Overview of a class,a,"An object is instance of its class. It can be declared in the same way that a variable is declared, only thing is you have to use class name as the data type."
2.,How many objects can be declared of a specific class in a single program?,,32768,127,1,As many as you want,d,"You can create as many objects of a specific class as you want, provided enough memory is available."
3.,Which among the following is false?,,Object must be created before using members of a class,Memory for an object is allocated only after its constructor is called,Objects can’t be passed by reference,Objects size depends on its class data members,c,"Objects can be passed by reference. Objects can be passed by value also. If the object of a class is not created, we can’t use members of that class."
4.,Which of the following is incorrect?,,class student{  }s;,class student{  };   student s;,class student{  }s[];,class student{  }; student s[5];,c,"The array must be specified with a size. You can’t declare object array, or any other linear array without specifying its size. It’s a mandatory field."
5.,The object can’t be __________,,Passed by reference,Passed by value,Passed by copy,Passed as function,d,"Object can’t be passed as function as it is an instance of some class, it’s not a function. Object can be passed by reference, value or copy. There is no term defined as pass as function for objects."
6,What is size of the object of following class (64 bit system)?,class student {  int rollno;  char  name[20];  static int studentno;  };,20,22,24,28,c,"The size of any object of student class will be of size 4+20=24, because static members are not really considered as property of a single object. So static variables size will not be added."
7.,Functions can’t return objects.,,True,False,"<span class=""collapseomatic  colomat-close colomat-visited"" id=""id68dd596d31dcf"" tabindex="""" title=""View Answer"">View Answer</span>",,b,Functions can always return an object if the return type is same as that of object being returned. Care has to be taken while writing the prototype of the function.
8.,How members of an object are accessed?,,Using dot operator/period symbol,Using scope resolution operator,Using member names directly,Using pointer only,a,Using dot operator after the name of object we can access its members. It is not necessary to use the pointers. We can’t use the names directly because it may be used outside the class.
9.,"If a local class is defined in a function, which of the following is true for an object of that class?",,Object is accessible outside the function,Object can be declared inside any other function,Object can be used to call other class members,Object can be used/accessed/declared locally in that function,d,"For an object which belongs to a local class, it is mandatory to declare and use the object within the function because the class is accessible locally within the class only."
10,Which among the following is wrong?,,class student{  }; student s;,abstract class student{  }; student s;,abstract class student{  }s[50000000];,abstract class student{  }; class toppers: public student{  }; topper t;,b,"We can never create instance of an abstract class. Abstract classes doesn’t have constructors and hence when an instance is created there is no facility to initialize its members. Option d is correct because topper class is inheriting the base abstract class student, and hence topper class object can be created easily."
11,Object declared in main() function _____________,,Can be used by any other function,Can be used by main() function of any other program,Can’t be used by any other function,Can be accessed using scope resolution operator,c,The object declared in main() have local scope inside main() function only. It can’t be used outside main() function. Scope resolution operator is used to access globally declared variables/objects.
12,When an object is returned___________,,A temporary object is created to return the value,The same object used in function is used to return the value,The Object can be returned without creation of temporary object,"Object are returned implicitly, we can’t say how it happens inside program",a,A temporary object is created to return the value. It is created because the object used in function is destroyed as soon as the function is returned. The temporary variable returns the value and then gets destroyed.
13,Which among the following is correct?,,"class student{  }s1,s2; s1.student()=s2.student();",class student{  }s1; class topper{  }t1; s1=t1;,"class student{  }s1,s2; s1=s2;",class student{  }s1; class topper{  }t1; s1.student()=s2.topper();,c,Only if the objects are of same class then their data can be copied from to another using assignment operator. This actually comes under operator overloading. Class constructors can’t be assigned any explicit value as in option class student{  }s1; class topper{  }t1; s1=t1; and class student{  }s1; class topper{  }t1; s1.student()=s2.topper();.
14,Which among following is correct for initializing the class below?,"class student{
int marks;
int cgpa;
public: student(int i, int  j){
marks=I;
cgpa=j
}
};","student s[3]={  s(394, 9); s(394, 9); s(394,9); };","student s[2]={   s(394,9), s(222,5)  };","student s[2]={   s1(392,9), s2(222,5)   };","student s[2]={   s[392,9],   s2[222,5]   };",b,It is the way we can initialize the data members for an object array using parameterized constructor. We can do this to pass our own intended values to initialize the object array data.
15,"Object can’t be used with pointers because they belong to user defined class, and compiler can’t decide the type of data may be used inside the class.",,True,False,"<span class=""collapseomatic  colomat-close colomat-visited"" id=""id68dd596d31e10"" tabindex="""" title=""View Answer"">View Answer</span>",,b,The explanation given is wrong because object can always be used with pointers like with any other variables. Compiler doesn’t have to know the structure of the class to use a pointer because the pointers only points to a memory address/stores that address.
